ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
010077460;Continental 185/60 R 15  84 H   TL;EcoContact 5 # 0356726000;300576;62,5;53,75;4;0;;-1;1
010078500;Continental 275/70 R 22.5 150 J    TL;Urban HA3 M+S # 0514061000;258532;348,7;291,64;2;0;;-1;1
010078570;Continental 315/60 R 22.5 152 L   TL;HD HYBRID 3PMSF M+S # 0522192000;282687;412,5;345;2;0;;-1;1
010085920;Continental 225/55 R 18 XL 102 V   TL;TS 850 P SUV FR # 0354777000;355105;166,5;143,19;4;0;;-1;1
010091174;Continental 175/65 R 14 C 90/88 T  TL;VancoWinter 2 -DOT 12-;321701;50,4;43,344;4;1;0,85;;1
010091174;Continental 175/65 R 14 C 90/88 T  TL;VancoWinter 2 -DOT 12-;44958;50,4;43,344;4;1;0,85;;1
010091281;Continental 185/55 R 15  82 H   TL;EcoContact 5 FR -DEMO-;243619;53,4;45,924;4;1;0,92;;1
010091281;Continental 185/55 R 15  82 H   TL;EcoContact 5 FR -DEMO-;32772;53,4;45,924;4;1;0,92;;1
010091281;Continental 185/55 R 15  82 H   TL;EcoContact 5 FR -DEMO-;402940;53,4;45,924;4;1;0,92;;1
010091347;Continental 275/45 R 19 XL 108 V   TL;CrossContact Winter FR BSW -DOT 13-;336377;167,3;143,878;4;0;;-1;1
010091347;Continental 275/45 R 19 XL 108 V   TL;CrossContact Winter FR BSW -DOT 13-;202507;167,3;143,878;4;1;0,9;;1
010091348;Continental 285/35 R 20 XL 104 V   TL;TS 810 S N0 FR -DOT 13-;64212;159,4;137,084;4;1;0,9;;1
010091348;Continental 285/35 R 20 XL 104 V   TL;TS 810 S N0 FR -DOT 13-;258450;159,4;137,084;4;1;0,87;;1
010091348;Continental 285/35 R 20 XL 104 V   TL;TS 810 S N0 FR -DOT 13-;240162;159,4;137,084;4;1;0,87;;1
010091372;Continental 295/80 R 22.5 152/148 M  TL;HDR 2 M+S -DOT 11-;267568;320,1;267,72;2;0;;-1;1
010091372;Continental 295/80 R 22.5 152/148 M  TL;HDR 2 M+S -DOT 11-;55954;320,1;267,72;2;1;0,85;;1
010091373;Continental 150/70 R 17  69 V   TL;Trail Attack REAR -DOT 12-;237070;76,2;70,032;1;1;0,85;;1
010091373;Continental 150/70 R 17  69 V   TL;Trail Attack REAR -DOT 12-;43310;76,2;70,032;1;1;0,85;;1
010091376;Continental 275/40 R 20 XL 106 V   TL;CrossContact Winter FR -DOT 13-;317988;158,8;136,568;4;1;0,9;;1
010091389;Continental 235/60 R 16 100 V   TL;PremiumContact 2 -DOT 13-;35286;101,4;87,204;4;1;0,9;;1
010091393;Continental 235/70 R 16 106 T   TL;CrossContact Winter BSW -DOT 13-;338257;85,1;73,186;4;0;;-1;1
010091393;Continental 235/70 R 16 106 T   TL;CrossContact Winter BSW -DOT 13-;40411;85,1;73,186;4;1;0,9;;1
010091411;Continental 295/35 R 19 100 V   TL;TS 830 P N0 FR -DOT 13-;338871;91,1;78,346;4;0;;-1;1
010091411;Continental 295/35 R 19 100 V   TL;TS 830 P N0 FR -DOT 13-;377790;91,1;78,346;4;1;0,92;;1
010091411;Continental 295/35 R 19 100 V   TL;TS 830 P N0 FR -DOT 13-;408894;91,1;78,346;4;1;0,9;;1
010091485;Continental 235/45 R 17 XL  97 H   TL;TS 830 P FR -DOT 12-;320825;89;76,54;4;0;;-1;1
010091485;Continental 235/45 R 17 XL  97 H   TL;TS 830 P FR -DOT 12-;408883;89;76,54;4;1;0,85;;1
010091487;ContinentalMU 85  B 16 RF  77 H   TL;CM 2 REAR -DOT 13-;341657;99;89,64;1;0;;-1;1
010091501;Continental 165/70 R 14 C 89/87 R  TL;VancoFourSeason -DOT 12-;307074;54,5;46,87;4;0;;-1;1
010091509;Continental 265/70 R 17 115 T   TL;CrossContact LX 2 BSW -DOT 14-;236184;116,4;100,104;4;1;0,92;;1
010091512;Continental 175/70 R 13  82 T   TL;EcoContact 3 -DOT 14-;374751;31,3;26,918;4;0;;-1;1
010091512;Continental 175/70 R 13  82 T   TL;EcoContact 3 -DOT 14-;26055;31,3;26,918;4;1;0,92;;1
010091513;Continental 205/70 R 15  96 T   TL;4x4 Contact BSW -DOT 14-;351134;61,1;52,546;4;1;0,92;;1
010091513;Continental 205/70 R 15  96 T   TL;4x4 Contact BSW -DOT 14-;19572;61,1;52,546;4;1;0,92;;1
010091514;Continental 245/75 R 15 C 109 S   TL;CrossContact AT BSW -DOT 14-;379782;81;69,66;4;0;;-1;1
010091517;Continental 165/60 R 14  75 H   TL;EcoContact 3 -DOT 14-;26066;47,7;41,022;4;1;0,92;;1
010091532;Continental 175/60 R 15  81 T   TL;TS 850 -DOT 14-;376386;38,8;33,368;4;0;;-1;1
010091532;Continental 175/60 R 15  81 T   TL;TS 850 -DOT 14-;352390;38,8;33,368;4;1;0,92;;1
010091535;Continental 195/70 R 16  94 H   TL;CrossContact Winter BSW -DOT 14-;370867;42,3;36,378;4;0;;-1;1
010091535;Continental 195/70 R 16  94 H   TL;CrossContact Winter BSW -DOT 14-;317987;42,3;36,378;4;1;0,92;;1
010091540;Continental 245/55 R 17 102 H   TL;TS 790 * FR -DOT 14-;12069;73,4;63,124;4;1;0,92;;1
