ArtikelNr,T24ID,Price,Cheapest,Error
010055360,66422,44.67,44.64,0
010055420,64230,106.64,101.79,0
010055570,64733,144.09,135.04,0
010055580,64243,128.47,128.45,0
010056740,66358,102.88,99.91,0
010056750,400967,91.97,87.41,0
010056760,400968,77.17,73.57,0
010056770,65924,113.83,110.95,0
010056860,408962,68.42,63.9,0
010056900,403034,109.34,106.49,0
010056910,63362,84.52,82.01,0
010056940,64904,94.49,88.26,0
010057110,66425,103.24,101,0
010058230,400994,93.08,86.96,0
010058340,67386,131.27,131.25,0
010058400,402990,68.52,67.17,0
010058430,403010,105.74,104.41,0
010058450,403015,e,e,1
010058480,403021,119.67,112.04,0
010058510,66317,137.48,129,0
010058520,66320,170.13,166.62,0
010058530,402911,38.72,36.55,0
010058540,402907,50.13,47.24,0
010058550,66339,50.22,49.38,0
010058560,66340,48.47,45.1,0
010058580,408955,43.43,41.18,0
010058600,66385,80.93,77.9,0
010058610,402923,85.52,84.01,0
010058620,403994,e,e,1
010058780,67407,108.93,102,0
010058820,66479,410.01,379,0
010058840,66480,385.58,385.6,0
010058870,66492,321.42,316.23,0
010058920,67406,96.21,90.15,0
010058940,403097,73.98,69,0
010058950,403098,82.44,73,0
010058960,403099,89.23,84,0
010058970,403100,98.82,93.31,0
010058980,402973,157.98,154.5,0
010059000,67408,68.98,65.42,0
010059050,38501,86.85,84.43,0
010059060,402913,48.93,48.05,0
010059080,401838,61.67,60.21,0
010059090,402931,50.78,47.69,0
010059110,402928,61.98,60.81,0
010059130,402919,64.56,63.84,0
010059140,66387,85.64,84.03,0
010059150,402925,85.93,84.46,0
010059220,402988,80.94,78.07,0
010059250,66393,116.77,113.88,0
010059280,66351,67.29,65.17,0
010059300,66383,109.82,101.19,0
010059310,66394,124.82,122.15,0
010059320,403014,110.93,104.5,0
010059340,403017,93.11,93.09,0
010059350,403019,105.13,103.24,0
010059390,403023,112.58,108.98,0
010059460,403044,91.38,88.98,0
010059470,66354,75.8,71.53,0
010059490,66370,194.91,170.69,0
010059500,66371,205.72,196.86,0
010059530,66388,87.62,84.75,0
010059670,66322,113.48,110.36,0
010059750,402984,121.79,112.36,0
010059760,66321,123.58,119.8,0
010059780,66318,160.88,153.41,0
010059810,402926,93.01,91.78,0
010059970,403018,112.17,103,0
010059990,402915,72.28,70.86,0
010060020,400296,77.7,70.5,0
010060090,400291,144.15,139.99,0
010060100,400292,160.7,141.95,0
010060120,243956,244.67,217.96,0
010060150,400977,75.33,72.55,0
010060170,403042,111.88,109.85,0
010060230,403111,147,144.83,0
010060760,400482,137.28,125.56,0
010060820,403101,64.84,56.79,0
010060840,403026,103.05,102.03,0
010060850,403027,131.21,127.42,0
010060870,403045,127.78,125.89,0
010060880,403048,160.05,157.03,0
010060890,400990,113.98,102.11,0
010060900,403039,67.41,63.67,0
010060960,400984,39.98,39.38,0
010061390,402906,48.48,46.4,0
010061410,402912,49.82,49.06,0
010061420,402930,50.68,49.37,0
010061470,402924,68.97,67.74,0
010061510,400973,101.43,100.35,0
010061520,400974,100.58,99.44,0
010061540,400979,166.2,161,0
010061590,400991,97.88,92.38,0
010061600,403992,116.52,110.74,0
010061620,276562,105.83,103.3,0
010061630,400992,99.27,94.86,0
010061660,400993,127.47,124.14,0
010061680,400284,68.8,67.9,0
010061710,400309,37.46,34.5,0
010061780,400302,110.98,107.8,0
010061880,400988,182.01,174.76,0
010061890,403037,197.98,189.78,0
010062100,403053,294.78,294.8,0
010062150,403076,317.01,312,0
010062670,403041,91.61,89,0
010062700,403032,68.37,65.06,0
010062710,402986,105.82,104,0
010062750,220611,117.24,116.15,0
010062780,259201,404.68,350.99,0
010062790,403070,107.94,106.5,0
010062820,402978,94.48,85.9,0
010062980,407763,70.86,61.01,0
010062990,203578,128.96,122.54,0
010063000,402936,34.48,32.85,0
010063020,402938,48.6,46.99,0
010063040,402941,60.68,57.5,0
010063050,402956,61.68,59.44,0
010063060,402945,64.52,62.2,0
010063070,402946,41.32,39.98,0
010063100,402959,50.02,48.18,0
010063120,402967,51.8,49.53,0
010063130,402955,87.73,86.98,0
010063140,402957,83.19,80.05,0
010063190,407806,97.98,90.01,0
010063200,402968,84.77,81.88,0
010063210,402965,94.88,84,0
010063250,235698,88.02,86.63,0
010063270,230093,91.53,87.02,0
010063280,234069,115.96,99.9,0
010063290,237391,98.35,94.09,0
010063320,402899,-0.98,70,1
010063360,403038,130.74,129.09,0
010063370,407771,115.24,112.75,0
010063380,403119,340.98,341,0
010063410,403095,357.98,358,0
010063500,403072,96.98,87.37,0
010063530,235700,73.13,68.49,0
010063540,402939,43.03,37.68,0
010063550,402943,66.98,63.24,0
010063560,402950,49.53,47.89,0
010063570,402951,48.67,46.84,0
010063580,402962,51.23,50.1,0
010063590,402963,67.98,57.16,0
010063830,409722,85.31,79.11,0
010063860,409723,117.89,113.5,0
010063960,227755,69.57,65.13,0
010063970,227756,120.33,113.32,0
010064020,206040,31.07,28.01,0
010064030,407762,73.62,68.24,0
010064040,407799,74.44,68.67,0
010064050,407800,91.15,86,0
010064060,407801,91.48,86.79,0
010064070,407761,87.48,82.03,0
010064090,407803,94.38,87.99,0
010064100,407804,115.28,109.75,0
010064110,418466,81.88,76.45,0
010064120,407805,110.55,103.45,0
010064160,407766,81.16,54.63,0
010064170,407768,90.71,71.05,0
010064180,418467,107.55,101.39,0
010064190,418468,116.48,110.52,0
010064200,418469,109.15,103,0
010064210,403030,124.32,122,0
010064230,403029,108.75,106.49,0
010064260,402903,50.51,47.38,0
010064270,402904,44.21,44.07,0
010064290,402929,50.74,48.93,0
010064310,402927,71.58,67.6,0
010064360,402983,171.78,167.77,0
010064430,403057,125.43,119.58,0
010064440,403047,124.97,120.97,0
010064470,402964,63.52,61.69,0
010064510,402961,42.19,41.03,0
010064580,408899,70.78,58.47,0
010064620,408907,87.44,80.09,0
010064630,408908,90.84,79.45,0
010064650,408911,45.6,35.27,0
010064680,408914,70.66,66.15,0
010064750,402970,57.53,50.67,0
010064810,403062,144.45,142.66,0
010064840,407769,167.62,159.93,0
010064850,407770,149.98,147.09,0
010064870,403991,76.63,74,0
010065020,231827,135.98,128.75,0
010065080,409676,138.82,135.74,0
010065120,408967,160,156.94,0
010065130,234621,170.43,153.49,0
010065190,408957,75.54,72.75,0
010065200,408959,50.62,47.8,0
010065220,408901,69.68,55.33,0
010065250,408906,79.27,76.87,0
010065260,408915,53.02,51.67,0
010065280,408919,70.36,60.85,0
010065300,408921,55.56,39.88,0
010065310,408885,163.71,161.64,0
010065320,408882,109.38,93.22,0
010065550,249967,157.83,153,0
010065620,408896,145.22,140.82,0
010065650,409707,104.38,101.15,0
010065680,409672,64.83,63.56,0
010065690,408958,96,84.09,0
010065700,408971,157.73,153.15,0
010065710,409673,84.29,82.12,0
010065720,409708,85.67,84.99,0
010065730,409674,72.59,67.08,0
010065820,412626,125.98,109.55,0
010065830,412627,150.29,148.44,0
010066060,235311,123.87,118.89,0
010066100,226155,80.62,76.45,0
010066120,233548,127.43,119.25,0
010066140,238248,105.23,102.8,0
010066220,236939,106.73,90.47,0
010066250,258080,153.33,151,0
010066310,239206,97.74,90.51,0
010066320,247030,146.55,138.8,0
010066440,233687,51.98,47.9,0
010066450,233690,68.88,64.26,0
010066470,225725,91.88,84.45,0
010066520,238136,84.57,83.38,0
010066540,233594,81.03,76.97,0
010066580,237933,85.42,84.1,0
010066630,236156,71.64,64.11,0
010066640,239201,60.99,60.96,0
010066660,238099,44.93,39.66,0
010066700,246946,83.23,81.47,0
010066760,253430,210.53,195.27,0
010066780,237921,84.92,80.57,0
010066860,241055,96.08,91.35,0
010066870,241799,150.78,144.26,0
010066900,238152,85.77,84.49,0
010066930,239479,99.57,96.3,0
010066940,239085,96.2,91.25,0
010066980,238038,54.34,50.6,0
010067000,238113,73.45,72.31,0
010067010,243137,84.32,80.9,0
010067030,241187,108.57,97.7,0
010067040,238129,56.34,54.15,0
010067050,243064,87.38,84.26,0
010067090,246126,69.78,61.19,0
010067190,239209,77.9,73.87,0
010067200,233786,87.76,80.48,0
010067220,250721,76.13,74.65,0
010067240,258159,175.87,170.98,0
010067340,238009,145.62,136.5,0
010067370,253572,164.58,159,0
010067380,258078,202.39,196.98,0
010067410,238019,181.34,162.5,0
010067430,260872,223.83,86.31,0
010067440,243094,102.5,97.06,0
010067450,242034,79.76,74.89,0
010067470,250169,162.98,125.71,0
010067480,234599,94.51,82.47,0
010067500,244577,83.7,82,0
010067510,237718,57.68,56.89,0
010067520,237704,50.28,46.35,0
010067550,238020,80.37,79.25,0
010067620,313119,339.74,339.76,0
010067650,313122,232.56,232.58,0
010067660,392621,170.46,170.48,0
010067670,259222,105.98,106,0
010067710,283052,117.89,117.91,0
010067720,392616,87.2,87.22,0
010067740,238286,93.38,87.82,0
010067750,237668,86.48,75.95,0
010067780,259223,71.75,71.77,0
010067800,251707,60.37,49.9,0
010067820,313123,383.77,383.79,0
010067880,280032,103.3,103.32,0
010067910,313131,128.01,128.03,0
010067920,241905,54.9,53.09,0
010067930,313132,e,e,1
010067940,313134,166.78,166.8,0
010068000,238124,71.57,67.25,0
010068040,246559,88.63,86.47,0
010068070,245647,75.75,71,0
010068090,251597,98.05,85.71,0
010068100,243823,53.29,53.29,0
010068150,246560,97.21,84.5,0
010068170,243642,126.48,115.9,0
010068190,245604,95.72,91.15,0
010068230,257012,213.98,190.26,0
010068240,240162,217.35,212.95,0
010068260,270022,337.79,315.9,0
010068270,269716,348.46,315.4,0
010068290,249559,78.98,73.47,0
010068300,237657,65.03,59.65,0
010068310,249454,50.68,45.01,0
010068320,249456,55.32,53,0
010068330,237659,56.88,53.05,0
010068340,237661,64.55,60.27,0
010068350,237664,67.7,61.05,0
010068360,237663,59.48,54.56,0
010068370,243082,67.68,63.32,0
010068380,238711,88.51,82.7,0
010068390,239400,87.3,85,0
010068400,238730,95.37,88,0
010068410,237070,92.2,87.82,0
010068430,240070,78.74,74.1,0
010068440,241091,115.33,109,0
010068460,265531,93.11,87,0
010068470,237678,99.35,93.25,0
010068480,240190,92.85,86.9,0
010068490,237065,83.48,78,0
