ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008074160;Bridgestone 100/90 - 19  57 M   TT;X 30 Cross REAR MED # 07187;282125;48,6;46,296;1;0;;-1;2
008074170;Bridgestone 80 /100- 21  51 M   TT;X 40 Cross FRONT HAR # 07188;283383;39,6;38,556;1;0;;-1;2
008074180;Bridgestone 110/100- 18  64 M   TT;X 40 Cross REAR HARD # 07189;283384;51,4;48,704;1;0;;-1;2
008074200;Bridgestone 110/90 - 19  62 M   TT;X 40 Cross REAR HARD # 07191;283389;51;48,36;1;0;;-1;2
008074220;Bridgestone 120/600R 17   TL;V02 FRONT M/H # 07193;273686;119,8;107,528;1;0;;-1;2
008074290;Bridgestone 90 /90 - 14  46 P   TL;SC FRONT # 07200;282932;33,1;29,956;1;0;;-1;2
008074320;Bridgestone 100/90 - 14 RF  57 P   TL;SC REAR # 07203;282107;34,6;31,246;1;0;;-1;2
008074340;Bridgestone 120/70 - 13  53 P   TL;SC FRONT # 07205;307845;33,4;30,214;1;0;;-1;2
008074400;Bridgestone 150/70 - 13  64 S   TL;SC REAR # 07211;309710;40,4;39,244;1;0;;-1;2
008074450;Bridgestone 110/80 R 19  59 V   TL;BW 501 J FRONT # 07317;274591;84,1;76,826;1;0;;-1;2
008074470;Bridgestone 130/70 R 18  63 V   TL;G 853 F # 07319;275169;93,1;84,566;1;0;;-1;2
008074520;Bridgestone 210/40 R 18  73 H   TL;G 852 G # 07327;276225;173,8;153,968;1;0;;-1;2
008074650;Bridgestone 225/50 R 17  94 H   TL;LM 32 EXT MOE # 06186;281232;113,4;97,524;4;0;;-1;2
008074660;Bridgestone 225/50 R 17  94 H   TL;LM 32 MO # 06187;276232;94,2;81,012;4;0;;-1;2
008074920;Bridgestone 265/70 R 16 112 H   TL;Dueler H/T 689 # 06704;266616;102,6;88,236;4;0;;-1;2
008075020;Bridgestone 205/55 R 16  91 W   TL;T001 AO # 05837;275018;54,5;46,87;4;0;;-1;2
008075050;Bridgestone 245/40 R 18 XL  97 Y   TL;S001 EXT MOE # 06004;270876;157,8;135,708;4;0;;-1;2
008075200;Bridgestone 215/60 R 17  96 H   TL;Dueler H/P Sport QASHQAI # 06205;280779;91,8;78,948;4;0;;-1;2
008075210;Bridgestone 225/50 R 17 XL  98 Y   TL;RE 050 A # 07364;268830;103,4;88,924;4;0;;-1;2
008075230;Bridgestone 275/30 R 20 XL  97 Y   TL;RE 050 A RFT * 5ER # 07544;277864;250,1;215,086;4;0;;-1;2
008075330;Bridgestone 225/70 R 16 103 T   TL;LM 80 Evo # 06690;280472;88,1;75,766;4;0;;-1;2
008075710;Bridgestone 185/55 R 16 XL  87 T   TL;LM 25 # 07528;280280;76,9;66,134;4;0;;-1;2
008075770;Bridgestone 120/90 - 17  64 S   TT;TW 42 REAR # 07416;278319;72,8;67,108;1;0;;-1;2
